	HC1	HC2	HC3	HC4	C1	C2	C3	C4	C5	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
novel_circ_0015044	143.5801716	101.6363452	226.4150943	0	0	0	0	0	252.9884258	464.8886714	481.3477738	332.4836529	118.494644	330.6263303	991.7010282	242.3361202	423.6635341	109.6431117	693.4492164
novel_circ_0004960	215.3702574	0	113.2075472	0	0	0	0	0	0	73.40347443	160.4492579	0	71.09678643	82.65658256	52.19479096	0	346.6338006	0	138.6898433
hsa_circ_0007639	71.79008579	101.6363452	0	0	0	0	0	0	0	195.7425985	0	110.8278843	189.5914305	0	104.3895819	0	77.02973348	164.4646675	92.45989552
hsa_circ_0086203	107.6851287	0	264.1509434	0	0	0	0	0	0	195.7425985	133.7077149	83.12091322	94.79571523	123.9848738	0	0	154.059467	164.4646675	0
hsa_circ_0036649	0	135.5151269	0	202.3472278	0	0	0	0	0	195.7425985	0	138.5348554	47.39785762	61.99243692	156.5843729	242.3361202	77.02973348	0	138.6898433
hsa_circ_0080000	215.3702574	135.5151269	188.6792453	202.3472278	0	0	0	0	0	195.7425985	80.22462896	110.8278843	260.6882169	185.9773108	104.3895819	0	0	0	0
hsa_circ_0035285	0	0	0	0	0	0	0	0	0	171.2747737	80.22462896	166.2418264	47.39785762	41.32829128	104.3895819	181.7520901	0	0	277.3796866
hsa_circ_0003936	0	0	0	0	0	0	0	0	0	97.87129924	213.9323439	277.0697107	0	41.32829128	104.3895819	0	115.5446002	0	184.919791
novel_circ_0014133	0	0	0	0	0	0	0	0	0	73.40347443	106.9661719	110.8278843	0	289.298039	130.4869774	121.1680601	192.5743337	0	0
novel_circ_0009302	107.6851287	304.9090355	0	758.8021044	0	0	0	0	0	48.93564962	0	55.41394215	260.6882169	206.6414564	208.7791638	0	77.02973348	0	92.45989552
hsa_circ_0056589	71.79008579	169.3939086	150.9433962	0	0	0	0	0	0	97.87129924	160.4492579	0	142.1935729	123.9848738	156.5843729	181.7520901	77.02973348	0	92.45989552
hsa_circ_0073177	0	67.75756344	0	0	0	0	0	0	0	244.6782481	240.6738869	55.41394215	47.39785762	0	182.6817684	0	154.059467	0	138.6898433
novel_circ_0014130	0	0	113.2075472	0	0	0	0	0	0	367.0173722	133.7077149	138.5348554	0	0	130.4869774	0	192.5743337	0	138.6898433
novel_circ_0008864	251.2653003	169.3939086	226.4150943	657.6284905	0	0	0	0	0	146.8069489	53.48308597	332.4836529	165.8925017	61.99243692	287.0713503	0	0	0	0
novel_circ_0016197	71.79008579	67.75756344	0	0	0	0	0	0	0	195.7425985	187.1908009	110.8278843	0	144.6490195	52.19479096	181.7520901	77.02973348	164.4646675	0
hsa_circ_0035575	71.79008579	0	226.4150943	101.1736139	0	0	0	0	0	122.3391241	187.1908009	0	142.1935729	82.65658256	78.29218644	121.1680601	0	164.4646675	184.919791
hsa_circ_0003622	107.6851287	169.3939086	0	101.1736139	0	0	0	0	0	269.1460729	133.7077149	55.41394215	142.1935729	123.9848738	182.6817684	181.7520901	0	0	0
novel_circ_0008619	0	169.3939086	113.2075472	0	0	0	0	0	0	97.87129924	53.48308597	55.41394215	189.5914305	165.3131651	52.19479096	363.5041803	0	0	138.6898433
hsa_circ_0004531	179.4752145	67.75756344	0	0	0	0	0	61.07802718	0	391.485197	240.6738869	526.4324504	118.494644	61.99243692	521.9479096	0	231.0892004	109.6431117	277.3796866
hsa_circ_0008314	0	135.5151269	0	0	0	0	0	0	0	146.8069489	133.7077149	83.12091322	189.5914305	103.3207282	104.3895819	302.9201502	77.02973348	0	0
novel_circ_0012727	0	0	113.2075472	151.7604209	0	0	0	0	0	171.2747737	240.6738869	166.2418264	71.09678643	103.3207282	260.9739548	0	0	0	138.6898433
hsa_circ_0085778	107.6851287	372.6665989	264.1509434	101.1736139	0	0	0	0	0	171.2747737	80.22462896	193.9487975	165.8925017	185.9773108	339.2661412	0	0	0	0
novel_circ_0014911	0	135.5151269	0	0	0	0	0	0	0	342.5495473	267.4154299	55.41394215	118.494644	61.99243692	52.19479096	181.7520901	0	109.6431117	0
novel_circ_0008715	143.5801716	101.6363452	150.9433962	0	0	0	0	0	0	97.87129924	561.5724027	193.9487975	118.494644	0	208.7791638	0	0	0	0
novel_circ_0013107	0	271.0302538	150.9433962	252.9340348	0	0	0	0	0	195.7425985	160.4492579	138.5348554	165.8925017	103.3207282	78.29218644	302.9201502	0	109.6431117	0
novel_circ_0000513	0	0	0	0	0	0	0	0	0	171.2747737	133.7077149	0	0	144.6490195	443.6557232	181.7520901	231.0892004	0	0
hsa_circ_0006355	0	0	0	0	0	0	0	0	0	122.3391241	267.4154299	387.897595	0	61.99243692	287.0713503	0	0	0	184.919791
hsa_circ_0006281	179.4752145	67.75756344	452.8301887	202.3472278	0	0	0	0	0	318.0817225	347.6400588	138.5348554	331.7850033	41.32829128	52.19479096	0	0	0	0
hsa_circ_0005904	0	169.3939086	0	252.9340348	0	0	0	0	0	48.93564962	160.4492579	0	94.79571523	371.9546215	156.5843729	484.6722404	77.02973348	0	0
hsa_circ_0031888	107.6851287	0	0	0	0	0	0	0	0	171.2747737	427.8646878	221.6557686	0	165.3131651	417.5583277	0	0	0	0
novel_circ_0015156	71.79008579	0	339.6226415	252.9340348	0	0	0	0	0	171.2747737	80.22462896	304.7766818	402.8817897	206.6414564	130.4869774	0	0	0	0
novel_circ_0011099	0	0	0	202.3472278	0	0	0	0	0	146.8069489	0	138.5348554	118.494644	433.9470585	0	181.7520901	192.5743337	0	184.919791
novel_circ_0008967	251.2653003	135.5151269	226.4150943	0	0	0	0	0	0	171.2747737	106.9661719	304.7766818	47.39785762	268.6338933	130.4869774	0	154.059467	109.6431117	138.6898433
hsa_circ_0002894	0	0	0	0	0	0	0	0	0	195.7425985	133.7077149	249.3627397	0	0	208.7791638	121.1680601	462.1784009	0	138.6898433
novel_circ_0015049	610.2157292	101.6363452	188.6792453	252.9340348	0	0	0	0	0	195.7425985	106.9661719	277.0697107	236.9892881	144.6490195	156.5843729	242.3361202	0	0	138.6898433
novel_circ_0002042	143.5801716	67.75756344	188.6792453	151.7604209	0	0	0	0	0	122.3391241	133.7077149	166.2418264	118.494644	82.65658256	52.19479096	181.7520901	77.02973348	383.7508909	231.1497388
novel_circ_0000078	107.6851287	135.5151269	264.1509434	354.1076487	0	0	0	0	0	367.0173722	267.4154299	83.12091322	118.494644	41.32829128	208.7791638	302.9201502	77.02973348	0	92.45989552
hsa_circ_0043815	0	0	0	0	0	0	0	0	0	146.8069489	213.9323439	387.897595	71.09678643	0	287.0713503	302.9201502	77.02973348	0	138.6898433
novel_circ_0001877	179.4752145	203.2726903	301.8867925	303.5208418	0	0	0	0	0	269.1460729	213.9323439	110.8278843	213.2903593	82.65658256	130.4869774	242.3361202	0	219.2862233	92.45989552
novel_circ_0000742	107.6851287	203.2726903	113.2075472	202.3472278	0	0	0	0	0	464.8886714	213.9323439	249.3627397	0	0	313.1687458	302.9201502	0	164.4646675	0
hsa_circ_0000274	610.2157292	237.151472	339.6226415	252.9340348	0	0	150.579732	0	0	611.6956203	213.9323439	360.190624	402.8817897	454.6112041	417.5583277	302.9201502	308.1189339	0	600.9893209
hsa_circ_0085473	251.2653003	169.3939086	264.1509434	151.7604209	0	0	0	0	0	73.40347443	213.9323439	221.6557686	71.09678643	185.9773108	78.29218644	242.3361202	308.1189339	164.4646675	138.6898433
hsa_circ_0038725	107.6851287	135.5151269	226.4150943	101.1736139	0	0	0	0	0	269.1460729	106.9661719	83.12091322	189.5914305	82.65658256	417.5583277	181.7520901	154.059467	219.2862233	0
hsa_circ_0005462	0	0	603.7735849	0	0	0	0	0	0	0	133.7077149	138.5348554	118.494644	41.32829128	0	0	731.782468	0	508.5294254
hsa_circ_0035901	574.3206863	237.151472	150.9433962	252.9340348	0	0	0	0	0	171.2747737	133.7077149	249.3627397	355.4839321	392.6187672	130.4869774	121.1680601	77.02973348	0	184.919791
novel_circ_0015373	466.6355576	0	0	505.8680696	0	0	0	0	0	342.5495473	320.8985158	138.5348554	355.4839321	268.6338933	0	363.5041803	0	109.6431117	0
hsa_circ_0029772	287.1603432	338.7878172	339.6226415	354.1076487	0	0	0	0	0	195.7425985	240.6738869	277.0697107	142.1935729	165.3131651	156.5843729	302.9201502	77.02973348	383.7508909	138.6898433
novel_circ_0001927	0	135.5151269	188.6792453	0	0	0	0	0	0	195.7425985	106.9661719	249.3627397	758.3657219	268.6338933	78.29218644	0	0	0	231.1497388
hsa_circ_0001051	215.3702574	440.4241623	415.0943396	303.5208418	0	0	0	0	0	269.1460729	320.8985158	221.6557686	331.7850033	454.6112041	156.5843729	302.9201502	0	0	277.3796866
hsa_circ_0089513	179.4752145	203.2726903	0	404.6944557	0	0	0	0	0	464.8886714	320.8985158	360.190624	402.8817897	309.9621846	156.5843729	121.1680601	0	0	1063.288798
novel_circ_0004449	179.4752145	169.3939086	0	252.9340348	0	193.9111887	0	0	0	0	0	0	0	0	0	0	0	0	0
novel_circ_0011977	215.3702574	203.2726903	0	202.3472278	0	193.9111887	0	0	0	0	53.48308597	55.41394215	0	0	0	0	0	0	0
hsa_circ_0001306	1005.061201	779.2119795	566.0377358	1163.49656	0	0	602.3189279	549.7022446	0	122.3391241	320.8985158	166.2418264	0	185.9773108	208.7791638	181.7520901	192.5743337	0	0
novel_circ_0002397	143.5801716	203.2726903	188.6792453	303.5208418	172.3617874	0	0	0	189.7413193	97.87129924	0	0	0	82.65658256	52.19479096	0	77.02973348	0	0
novel_circ_0001844	71.79008579	474.3029441	188.6792453	303.5208418	86.1808937	0	0	0	0	97.87129924	53.48308597	0	0	61.99243692	52.19479096	121.1680601	0	164.4646675	0
hsa_circ_0008937	574.3206863	406.5453806	377.3584906	505.8680696	0	0	150.579732	0	316.2355322	73.40347443	106.9661719	110.8278843	0	61.99243692	287.0713503	0	192.5743337	0	138.6898433
novel_circ_0013777	502.5306005	271.0302538	264.1509434	404.6944557	0	0	0	0	442.7297451	122.3391241	294.1569729	138.5348554	47.39785762	61.99243692	52.19479096	242.3361202	77.02973348	0	0
novel_circ_0000178	717.9008579	914.7271064	1132.075472	961.1493323	172.3617874	129.2741258	602.3189279	0	0	489.3564962	0	277.0697107	260.6882169	351.2904759	626.3374915	242.3361202	115.5446002	0	369.8395821
novel_circ_0009844	2117.807531	1693.939086	1245.283019	1719.951437	689.4471496	711.0076918	1355.217588	397.0071767	1834.166087	685.0990947	882.4709186	1191.399756	426.5807186	516.603641	991.7010282	727.0083606	0	0	231.1497388
hsa_circ_0081873	358.9504289	372.6665989	792.4528302	961.1493323	0	193.9111887	150.579732	152.6950679	316.2355322	146.8069489	160.4492579	471.0185083	260.6882169	165.3131651	234.8765593	363.5041803	115.5446002	164.4646675	0
hsa_circ_0002021	1184.536416	609.8180709	981.1320755	1011.736139	344.7235748	711.0076918	376.4493299	335.9291495	189.7413193	538.2921458	347.6400588	526.4324504	189.5914305	371.9546215	313.1687458	727.0083606	231.0892004	219.2862233	0
novel_circ_0007049	2189.597617	1660.060304	2754.716981	2731.687576	775.6280433	775.6447547	752.8986598	0	632.4710644	905.309518	1417.301778	1108.278843	829.4625083	1529.146777	0	181.7520901	770.2973348	822.3233375	1017.058851
hsa_circ_0009084	1040.956244	1117.999797	754.7169811	859.9757183	473.9949153	581.733566	1129.34799	61.07802718	316.2355322	122.3391241	427.8646878	858.9161033	331.7850033	661.2526605	339.2661412	484.6722404	192.5743337	274.1077792	0
hsa_circ_0024193	1005.061201	711.4544161	716.9811321	1568.191016	387.8140216	323.1853145	752.8986598	641.3192854	505.9768516	440.4208466	534.8308597	387.897595	379.1828609	640.5885149	287.0713503	363.5041803	423.6635341	328.929335	0
hsa_circ_0003472	3338.238989	2879.696446	2188.679245	4249.291785	430.9044685	1680.563635	2258.69598	1221.560544	0	1590.408613	1711.458751	1274.520669	805.7635795	2479.697477	1148.285401	1393.432691	1155.446002	877.1448934	462.2994776
hsa_circ_0004273	1292.221544	1084.121015	1509.433962	809.3889114	387.8140216	904.9188805	527.0290619	274.8511223	1075.20081	538.2921458	320.8985158	498.7254793	426.5807186	681.9168061	469.7531186	424.0882103	577.7230011	603.0371142	277.3796866
hsa_circ_0000973	4020.244804	4844.665786	4754.716981	5969.243221	2240.703236	3102.579019	2635.145309	427.5461903	3225.602429	1810.619036	2219.548068	2216.557686	1019.053939	3430.248176	3470.953599	2423.361202	1579.109536	1535.003563	693.4492164
hsa_circ_0006010	1938.332316	1456.787614	867.9245283	2276.406313	1163.442065	1292.741258	0	0	948.7065967	464.8886714	374.3816018	443.3115372	284.3871457	991.8789908	495.8505141	1272.264631	1232.475736	1260.895784	138.6898433
